Row Number,Idx_Sample,Utility,Novelty,Uncertainty,fc 28-d - Target (MPa),Slump - Target (mm),SiO2,CaO,SO3,FA (kg/m3),GGBFS (kg/m3),Coarse aggregate (kg/m3),Fine aggregate (kg/m3),Total aggregates,Na2SiO3,Na2O (Dry),Sio2 (Dry),Superplasticizer,water -eff
83,1529,0.23973411321640015,0.3754337029403767,38.610428,48.573578,125.79443,47.085,18.3,0.45,220,220,969.46003,777.33997,1746.8,157.14286,18.07,47.14,17.6,145.23143
72,1517,0.19718250632286072,0.3102105280332517,37.81988,48.764297,124.40406,49.69,15.44,0.36,252,168,1010.9298,765.67018,1776.6,150.0,17.25,45.0,16.8,138.63
22,1421,0.18670395016670227,0.6488657233772928,40.68353,47.9622,129.32925,49.69,15.44,0.36,270,180,972.0,760.5,1732.5,176.78571,20.33,53.04,18.0,162.30536
103,1550,0.18573620915412903,0.6485321832311209,40.68528,47.96106,129.33162,49.69,15.44,0.36,270,180,971.96195,760.53805,1732.5,176.78571,20.33,53.04,18.0,162.30536
70,1515,0.1819363832473755,0.237512880513454,36.724216,49.058178,122.50661,49.69,15.44,0.36,240,160,1043.045,772.95498,1816.0,142.85714,16.43,42.86,16.0,132.02857
87,1533,0.1620500683784485,0.4268854174691614,38.34578,48.594555,125.28611,52.295,12.58,0.27,266,114,1070.4551,776.34486,1846.8,149.28571,17.17,44.79,15.2,137.05786
62,1507,0.10260403528809547,0.44450741229309726,39.168163,48.32607,126.6624,52.295,12.58,0.27,294,126,1010.9298,765.67018,1776.6,150.0,17.25,45.0,16.8,138.63
77,1522,0.10135674476623535,0.11445404694846607,36.0428,49.1929,121.2785,47.085,18.3,0.45,185,185,1081.5584,775.84155,1857.4,132.14286,15.2,39.64,14.8,122.12643
61,1506,0.09608124196529388,0.41290309150419113,38.713127,48.44799,125.874245,52.295,12.58,0.27,287,123,1026.6499,769.15012,1795.8,146.42857,16.84,43.93,16.4,135.32929
129,1578,0.07382428646087646,0.49663798421351374,43.14996,47.20118,133.5011,49.69,15.44,0.36,258,172,967.96105,795.03895,1763.0,184.28571,21.19,55.29,17.2,168.25286
